Date_Scraping;Ticker;Nom_Canonique;Exercice;Statut;Date_Detachement;Date_Paiement;Montant_Net_FCFA;Rendement_Pct;Avis_URL;Avis_Path;Sources
2026-08-13;ABJC.ci;SERVAIR ABIDJAN CI;2025;A venir;2026-09-29;2026-09-30;124,0;10,61;https://www.brvm.org/sites/default/files/20260701_-_avis_ndeg193_brvmdg_-_paiement_de_dividendes_exo_2025_-_servair_abidjan_ci.pdf;data/avis_dividendes/ABJC.ci/2025_20260701_-_avis_ndeg193_brvmdg_-_paiement_de_dividendes_exo_2025_-_servair_abidjan_ci.pdf;brvm.org,sikafinance.com
2026-08-13;NTLC.ci;NESTLE CI;2025;A venir;2026-09-04;2026-09-07;420,0;4,64;https://www.brvm.org/sites/default/files/20260730_-_avis_ndeg228_brvmdg_-_paiement_de_dividendes_exo_2025_-_nestle_ci.pdf;data/avis_dividendes/NTLC.ci/2025_20260730_-_avis_ndeg228_brvmdg_-_paiement_de_dividendes_exo_2025_-_nestle_ci.pdf;brvm.org,sikafinance.com
2026-08-13;SPHC.ci;SAPH CI;2025;A venir;2026-08-27;2026-08-28;489,0;10,39;https://www.brvm.org/sites/default/files/20260812_-_avis_ndeg238_brvmdg_-_paiement_de_dividendes_exo_2025_-_saph_ci.pdf;data/avis_dividendes/SPHC.ci/2025_20260812_-_avis_ndeg238_brvmdg_-_paiement_de_dividendes_exo_2025_-_saph_ci.pdf;brvm.org,sikafinance.com
2026-08-13;SGBC.ci;SGBCI;2025;A venir;2026-08-21;2026-08-24;2606,0;10,92;https://www.brvm.org/sites/default/files/20260806_-_avis_ndeg231_brvmdg_-_paiement_de_dividendes_exercice_2025_-_societe_generale_ci.pdf;data/avis_dividendes/SGBC.ci/2025_20260806_-_avis_ndeg231_brvmdg_-_paiement_de_dividendes_exercice_2025_-_societe_generale_ci.pdf;brvm.org,sikafinance.com
2026-08-13;CFAC.ci;CFAO MOTORS CI;2025;A venir;2026-08-13;2026-08-14;63,0;9,24;https://www.brvm.org/sites/default/files/20260730_-_avis_ndeg227_brvmdg_-_paiement_de_dividendes_exo_2025_-_cfao_motors_ci.pdf;data/avis_dividendes/CFAC.ci/2025_20260730_-_avis_ndeg227_brvmdg_-_paiement_de_dividendes_exo_2025_-_cfao_motors_ci.pdf;brvm.org,sikafinance.com
